theta_deg,range_m,tof_s
20,19941.085972551828,46.10000000000161
22,20832.575611635904,49.600000000002154
24,21674.217482133925,53.04000000000269
26,22474.7233308937,56.46000000000323
28,23228.539119462886,59.840000000003755
30,23943.05011937413,63.22000000000428
32,24615.725765979965,66.60000000000389
34,25240.151929276795,69.96000000000322
36,25817.56420553416,73.32000000000255
38,26345.87839739638,76.68000000000188
40,26815.417948957467,80.00000000000122
42,27222.146398062574,83.32000000000056
44,27544.52492826337,86.57999999999991
46,27782.471032468835,89.79999999999927
48,27925.603365905696,92.95999999999864
50,27972.223455292824,96.03999999999803
52,27910.949346019737,98.99999999999744
54,27730.110694606854,101.89999999999687
56,27407.878922471788,104.67999999999631
58,26939.3391932879,107.35999999999578
60,26312.375819903664,109.89999999999527
62,25525.721709197634,112.33999999999479
64,24572.26274067593,114.63999999999433
66,23451.937842993026,116.7999999999939
68,22166.85924805982,118.8199999999935
70,20720.048814977705,120.67999999999313
72,19116.7715239109,122.3599999999928
74,17368.924931620215,123.89999999999249
76,15485.585003631242,125.27999999999221
78,13477.126877203475,126.45999999999198
80,11360.216919082586,127.47999999999178
